id	kind	layer	stage	raw_class	in_degree	out_degree	producers	consumers	flags	path	label	notes
cfg:paths.nsg_layers	config_key	config	control	code	1	0	0	0		config.json	paths.nsg_layers (Liste)	[frag_F] Kein Dateipfad, sondern Liste von GPKG-Layernamen. Gelesen in abschichtung_common.py:1166,1176.
cfg:paths.nsg_zip	config_key	config	control	code	2	1	0	0		data/naturschutzgebiete/SG_AT_2024_v_April_Stand_3_April_2024.zip	paths.nsg_zip	[frag_A] Loest auf zu data/naturschutzgebiete/SG_AT_2024_v_April_Stand_3_April_2024.zip; zusammen mit paths.nsg_gpkg (innerer Dateiname) + paths.nsg_layers (4 Layer NP/NSG/ESG/RAMSAR_AT_2024). | [frag_D] aufgelöst config.py:24-26; gelesen abschichtung_common.py:1165 | [frag_F] Existiert. Gelesen in abschichtung_common.py:1164. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.osm_dir	config_key	config	control	code	1	1	0	0	verified_dead	data/austria-260328-free.shp	"paths.osm_dir = ""data/austria-260328-free.shp"""	[frag_A] Loest auf zu data/austria-260328-free.shp (Verzeichnis mit Legacy-Shapefiles); nur Fallback, s.u. | [frag_D] aufgelöst config.py:24-26; trotz .shp-Endung im config.json-Wert faktisch ein Verzeichnis mit gis_osm_*.shp-Layern (abschichtung_common.py:476-481). | [frag_F] MARKIERT: Pfad existiert NICHT auf der Platte (weder Datei noch Verzeichnis). Vorhanden ist stattdessen data/austria-260330.osm.pbf (anderer Dateiname/Datum/Format). Gelesen in abschichtung_common.py:474. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys. | FAKTENCHECK verified_dead: Pfad data/austria-260328-free.shp existiert nicht; der Zweig in windkraft/calc/abschichtung_common.py:474-485, der diesen Key nutzen wuerde, wird nie erreicht, weil pbf.exists() (Z.442-444) immer wahr ist. Toter Key.
cfg:paths.output_dir	config_key	config	control	code	1	0	0	0		config.json	"paths.output_dir = ""output"""	[frag_D] aufgelöst config.py:24-26; im windkraft/-Paket selbst nicht referenziert (Basis für Ausgabepfade liegt bei den Aufrufer-Skripten) | [frag_F] Existiert. Gelesen ueber windkraft/config.py:24. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.powerlines_gpkg	config_key	config	control	code	2	1	0	0		data/osm_power_lines.gpkg	paths.powerlines_gpkg	[frag_A] Loest auf zu data/osm_power_lines.gpkg; NUR Fallback wenn --osm-pbf fehlt (mit Default-PBF unwirksam) UND power_380_400kv wird seit Clean-Schema ohnehin nicht mehr in v2 gespeichert. | [frag_D] aufgelöst config.py:24-26; gelesen abschichtung_common.py:966,972 (nur genutzt wenn keine OSM-PBF vorhanden, siehe config.json _comment_powerlines_gpkg: für Widmung-v2 wirkungslos) | [frag_F] Existiert. Gelesen in abschichtung_common.py:966. Laut config.json-Kommentar 'powerlines_gpkg' fuer v2-Kette wirkungslos: wird zwar gelesen (abschichtung_common.py ~934), das daraus gebaute Band aber seit dem Clean-Schema nicht mehr gespeichert. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.vgd	config_key	config	control	code	4	1	0	0		data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	paths.vgd	[frag_A] Loest auf zu data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp. | [frag_B] config.json:6 -> 'data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp' | [frag_D] aufgelöst config.py:24-26 | [frag_F] Existiert. Gelesen in windkraft/calc/abschichtung_common.py:624. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:paths.wind_pd_100	config_key	config	control	code	1	1	0	0	verified_dead	data/AUT_power-density_100m.tif	paths.wind_pd_100	[frag_D] aufgelöst config.py:24-26, aber im windkraft/-Paket AN KEINER STELLE gelesen (nur wind_pd_150 wird verwendet) - toter Config-Key innerhalb des Pakets. | [frag_F] MARKIERT: Pfad existiert NICHT (data/AUT_power-density_100m.tif fehlt). MARKIERT zusaetzlich: wird ausserhalb von windkraft/config.py (Pfadaufloesung) nirgends im Code gegrept/gelesen -> toter Config-Key. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys. | FAKTENCHECK verified_dead: Datei fehlt, und der Key wird nur in windkraft/config.py:24 aufgeloest, nie tatsaechlich gelesen.
cfg:paths.wind_pd_150	config_key	config	control	code	2	1	0	0		data/AUT_power-density_150m.tif	paths.wind_pd_150	[frag_A] Loest auf zu data/AUT_power-density_150m.tif; Windhoeffigkeitsschwelle. | [frag_D] aufgelöst config.py:24-26; gelesen abschichtung_common.py:307,1282 | [frag_F] Existiert. Gelesen in abschichtung_common.py:307,1282. | RAW_CLASS-ENTSCHEIDUNG: code. Config-Key ist Teil der Codebasis (config/config.json + windkraft/config.py), keine eigenstaendigen Daten-Bytes auf der Platte -- raw_class beschreibt Byte-Herkunft, hier gibt es nur den Code selbst. Konsistent mit den bereits unstrittig als code eingestuften uebrigen cfg:paths.*-Keys.
cfg:pyproject.toml	config_key	config	control	code	0	3	0	0		pyproject.toml	pyproject.toml	[frag_F] dependencies: numpy, scipy, rasterio, geopandas, pandas, pyarrow, pyogrio, pyproj, Pillow, matplotlib. optional-dependencies.pdf: PyMuPDF (genutzt in scripts/noe/align_pdf_shapefile.py, scripts/noe/extract_noe_vector_layers.py, windkraft/noe/pdf_align.py - alle drei sind nicht ueber Make erreichbar). project.scripts.windkraft -> windkraft.__main__:main ist TOT (Ziel-Datei fehlt).
config.json	file	config	control	manual	5	0	0	5	true_raw	config.json	config.json (Repo-Root)	[frag_A] Zentrale Konfiguration; paths.* werden von windkraft.config.load_config() relativ zur Datei aufgeloest. | [frag_B] Projektweite Konfiguration; Pfade darin werden relativ zum Verzeichnis von config.json aufgelöst (windkraft/config.py:22-23). | [frag_D] wird von windkraft/config.py:18-19 gelesen; liegt außerhalb windkraft/.
data/.DS_Store	file	raw	input	manual	0	0	0	0	verified_dead	data/.DS_Store	.DS_Store (data/)	[frag_C] macOS-Systemdatei, kein Datenbezug; verwaist (nur in .gitignore erwähnt, keine Code-Referenz) | FAKTENCHECK verified_dead: keine Referenz im Code (Finder-Metadatendatei).
data/AUT_power-density_100m.tif	file	raw	input	manual	1	0	0	0		data/AUT_power-density_100m.tif	Global Wind Atlas Leistungsdichte 100m	[frag_D] nur in config.json/config.py resolviert, im windkraft/-Paket ungenutzt
data/AUT_power-density_150m.tif	file	raw	input	raw	2	0	0	1	true_raw	data/AUT_power-density_150m.tif	Global Wind Atlas Leistungsdichte 150m	[frag_A] geography_wind_too_low Schwelle. | [frag_C] Global Wind Atlas, 150m Leistungsdichte (README §2). Ref: config.json:8, windkraft/calc/band_manifest.py:209 | [frag_D] gelesen abschichtung_common.py:307,1282 (auch Grid-Template-Fallback wenn kein DGM) | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §2: Global Wind Atlas (globalwindatlas.info), Neu beschaffbar: ja.
data/DGM_R25.tif	file	raw	input	raw	2	0	0	1	true_raw	data/DGM_R25.tif	Digitales Geländemodell 25m	[frag_A] Grid-Template + Hangneigung/Seehoehe (build_geography_masks). | [frag_C] Höhenmodell 25m, BEV/Land, Quelle unbekannt-zu klären (README §2). Ref: config.json:10, docs/widmung_v2_provenance.md:34, scripts nutzen paths.dgm | [frag_D] gelesen abschichtung_common.py:307,1256; dient als Grid-Template (CRS/Transform) | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §2: BEV/Land Austria, manueller Download extern, Neu beschaffbar: ja, eingeschraenkt; keine Handdigitalisierung.
data/README.md	file	raw	input	manual	0	0	0	0		data/README.md	README.md	[frag_C] Handgeschriebene Provenienz-Doku (einzige Ausnahme von .gitignore /data/*, siehe Kopfzeile). Nur als Zitat/Pfad in windkraft/calc/band_manifest.py referenziert, nicht als Pipeline-Input geladen
data/RED_III_Windkraftbeschleunigungszone.zip	file	raw	input	raw	2	0	0	2	true_raw	data/RED_III_Windkraftbeschleunigungszone.zip	RED-III-Beschleunigungszonen Kärnten (ZIP)	[frag_A] Hartkodierter Pfad in wind_zones.py (key=RED3), NICHT per CLI ueberschreibbar; gleiches Silent-Skip-Risiko wie Bgld. | [frag_C] Ktn RED-III-Beschleunigungszonen, Land Kärnten (README §3.1). Ref: windkraft/calc/wind_zones.py:120, band_manifest.py:255 | [frag_D] wind_zones.py:120; source_path hartkodiert, stiller Fallback bei Fehlen | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §3.1: Land Kaernten, Neu beschaffbar: ja, eingeschraenkt.
data/WINDKRAFT_AUSSCHLUSSZONE.zip	file	raw	input	manual	1	0	0	1	true_raw	data/WINDKRAFT_AUSSCHLUSSZONE.zip	Ausschlusszone Windkraft-Masterplan OÖ (ZIP)	[frag_C] Herkunft unbekannt-zu klären (README §3.1). Ref: windkraft/calc/wind_zones.py:138, docs/MIGRATION_MAP.tsv:58 | [frag_D] wind_zones.py:138; stiller Fallback bei Fehlen | RAW_CLASS bleibt UNENTSCHIEDEN (siehe flow_graph.json.conflicts): data/README.md §3.1 fuehrt fuer diese Datei ALLE Felder (Herkunft, Lizenz, UND -- anders als bei jeder anderen Zeile der Tabelle -- 'Neu beschaffbar') als 'unbekannt -- zu klaeren'. Die raw/manual-Unterscheidung haengt genau an der Reproduzierbarkeit/Handarbeits-Frage, und dazu gibt es hier keinerlei Beleg in eine der beiden Richtungen (kein Hinweis auf Handdigitalisierung wie bei luca_zonen §0.1, aber auch keine Quellenangabe wie bei den uebrigen Zonen-ZIPs) -- wirklich unentscheidbar mit den vorliegenden Belegen.
data/WK_Eignungszonen.zip	file	raw	input	raw	2	0	0	2	true_raw	data/WK_Eignungszonen.zip	Windkraft-Eignungs-/Ausschlusszonen Burgenland (ZIP)	[frag_A] Hartkodierter Pfad in wind_zones.py (WindZoneSource key=Bgld), NICHT per CLI ueberschreibbar; fehlt die Datei, wird die Quelle still uebersprungen (nur Warnung). | [frag_C] Bgld Eignungszonen, Land Burgenland (README §3.1). Ref: windkraft/calc/wind_zones.py:69-100, band_manifest.py:250 | [frag_D] wind_zones.py:105 (Eignungszonen-Filter) und wind_zones.py:146 (Ausschlusszonen-Filter, gleiche Datei); source_path hartkodiert, stiller Fallback bei Fehlen | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §3.1: Land Burgenland, Neu beschaffbar: ja, eingeschraenkt.
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002	dir	raw	input	raw	0	0	0	0		data/admin_boundaries/VGD_Oesterreich_gen_50_20221002	VGD Verwaltungsgrenzen (Shapefile-Set)	[frag_C] 5 Dateien, Muster VGD_50_generalisiert.{shp,shx,dbf,prj,cpg}, BEV 1:50.000 (README §2). Ref: config.json:6, scripts/noe/extract_noe_vector_layers.py:50. Sidecars (.dbf/.shx/.prj/.cpg) nur implizit via GDAL, nicht separat referenziert
data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	file	raw	input	raw	4	0	0	3	true_raw	data/admin_boundaries/VGD_Oesterreich_gen_50_20221002/VGD_50_generalisiert.shp	VGD Verwaltungsgrenzen (generalisiert)	[frag_A] Bundesland-/Staatsgrenzen (admin_boundaries(), valid_area, BL-Zuordnung). | [frag_B] Amtliche Verwaltungsgrenzen, wiederholt genutzt (Bundesland-/NÖ-Grenzen). | [frag_D] gelesen windkraft/util/admin.py:8 load_vgd() | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §2: BEV, generalisiert 1:50.000, extern bezogen (Neu beschaffbar: ja, eingeschraenkt); kein Hinweis auf Handarbeit.
data/adressregister	dir	raw	input	manual	1	0	0	1		data/adressregister	BEV-Adressregister (ADRESSE.csv/GEBAEUDE.csv)	[frag_A] Stichtagsdaten, ggf. als Adresse_Relationale_Tabellen_Stichtagsdaten_*.zip; neuestes ZIP wird automatisch gewaehlt.
data/adressregister/.claude	file	raw	input	manual	0	0	0	0	verified_dead	data/adressregister/.claude	.claude/ (adressregister)	[frag_C] leeres Werkzeug-/Session-Metadaten-Verzeichnis (.cc-writes), explizit als 'kein Rohdatenbezug' klassifiziert (README §6); 0 Dateien, verwaist | FAKTENCHECK verified_dead: keine Referenz im Code (Werkzeug-/Session-Metadaten).
data/adressregister/ADRESSE.csv	file	raw	input	raw	0	0	0	0		data/adressregister/ADRESSE.csv	ADRESSE.csv	[frag_C] bereits entpackter Teil des BEV-ZIPs, unverändert (README §2). Ref: windkraft/calc/bev_register.py:38 (ADDRESS_CSV), :64-72 (Fallback aufs ZIP wenn fehlend)
data/adressregister/Adresse_Relationale_Tabellen_Stichtagsdaten_*.zip	file	raw	input	manual	1	0	0	1	true_raw	data/adressregister/Adresse_Relationale_Tabellen_Stichtagsdaten_*.zip	BEV-Adressregister-ZIP (Glob, jüngstes Stichtagsdatum)	[frag_D] bev_register.py:64-78 _newest_zip()/_read_csv(); harter FileNotFoundError wenn weder entpackter CSV noch ZIP existiert (Z.75-77)
data/adressregister/Adresse_Relationale_Tabellen_Stichtagsdaten_20251001.zip	file	raw	input	raw	0	0	0	0		data/adressregister/Adresse_Relationale_Tabellen_Stichtagsdaten_20251001.zip	Adresse_Relationale_Tabellen_Stichtagsdaten_20251001.zip	[frag_C] BEV-Adressregister, Stichtag 01.10.2025 (README §2). Ref: windkraft/calc/bev_register.py:64 via glob 'Adresse_Relationale_Tabellen_Stichtagsdaten_*.zip'
data/adressregister/Aktualitaetsstand.txt	file	raw	input	raw	0	0	0	0	verified_dead	data/adressregister/Aktualitaetsstand.txt	Aktualitaetsstand.txt	[frag_C] verwaist: Null Fundstellen im gesamten Repo (grep -i 'Aktualitaetsstand' liefert nichts außer diesem Datei-Fund); Teil der BEV-Lieferung | FAKTENCHECK verified_dead: keine Referenz im Code.
data/adressregister/adressen_31287.parquet	file	intermediate	input	derived_in_repo	2	0	1	1		data/adressregister/adressen_31287.parquet	BEV-Adress-Cache (Parquet)	[frag_C] Build-Cache von bev_register.py, automatisch neu erzeugt (README §6, §9 'Bekannter Verstoß — behoben'). Ref: tools/check_hardlink_safety.py:53, tests/test_check_hardlink_safety.py:24. Link-Count 1 = echte Kopie | [frag_D] bev_register.py:112-124 load_address_points(); Cache-Hit ist stiller Fallback (übersprungenes Neu-Einlesen des CSV/ZIP), kein Datenverlust
data/adressregister/bev_gebaeude_31287.parquet	file	intermediate	input	derived_in_repo	2	0	1	1		data/adressregister/bev_gebaeude_31287.parquet	BEV-Gebäude-Cache (Parquet)	[frag_C] Build-Cache von bev_register.py aus GEBAEUDE.csv im ZIP (README §6, §9). Ref: tools/check_hardlink_safety.py:54, docs/FOLLOWUPS.md:203/373. Link-Count 1 = echte Kopie | [frag_D] bev_register.py:127-142 load_building_points(); gleiches Cache-Verhalten
data/austria-260328-free.shp	file	raw	input	manual	3	0	0	2	true_raw	data/austria-260328-free.shp	OSM Legacy-Shapefiles (osm_dir)	[frag_A] Fallback-Pfad in osm_layer_path(); wird NUR genutzt wenn --osm-pbf fehlt/nicht existiert. Mit dem vorhandenen data/austria-260330.osm.pbf aktuell unwirksam. | [frag_D] enthält gis_osm_buildings_a_free_1.shp usw.; Fallback-Pfad nur wenn keine OSM-PBF vorhanden ist
data/austria-260330.osm.pbf	file	raw	input	raw	2	0	0	2	true_raw	data/austria-260330.osm.pbf	OSM Geofabrik Extrakt Oesterreich	[frag_A] Zentrale Rohquelle fuer buildings/windpower/aerialways/roads/railways/military/transport/nature/water/powerlines via osmium-Extraktion in output/abschichtung/osm_pbf_layers. | [frag_C] Geofabrik-PBF, ODbL 1.0 (README §2). Ref: scripts/widmung_v2/03_build_osm_layers.py:231, 04_create_distance_zones.py:378, docs/MIGRATION_MAP.tsv:47 | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §2: Geofabrik-Download (download.geofabrik.de), ODbL 1.0, Neu beschaffbar: ja.
data/flächenwidmungen/Flaewi.shp.zip	file	raw	input	raw	2	0	0	2	true_raw	data/flächenwidmungen/Flaewi.shp.zip	Flaewi Steiermark (Grün/Freizeit, ZIP)	[frag_A] Layer FWP_NUTZ, EPSG:4258, 645k Features, ~410MB - einzige Ausnahme von der new_widmungs_data-only-Regel (Auffuellungsgebiet/Kleingarten/Camping-Codes fehlen in Bauland.zip). | [frag_C] Flächenwidmung Steiermark Grünland/Freizeit, EPSG:4258, Land Steiermark (README §3.3). Ref: windkraft/calc/widmung_sources.py:98, band_manifest.py:290 | [frag_D] gelesen widmung_sources.py:420 | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §3.3: Land Steiermark OGD, zweite zwingend benoetigte Stmk-Quelle (Gruenland/Freizeit, EPSG:4258).
data/flächenwidmungen/WIDMUNGSFLAECHEN.zip	file	raw	input	raw	2	0	0	2	true_raw	data/flächenwidmungen/WIDMUNGSFLAECHEN.zip	Flächenwidmung Burgenland (ZIP)	[frag_A] Layer BGLD_FLAECHENWIDMUNG, WIDCODE-Spalte. | [frag_C] Flächenwidmung Burgenland (README §3.3). Ref: windkraft/calc/widmung_sources.py:61,408 | [frag_D] gelesen widmung_sources.py:408 | RAW_CLASS-ENTSCHEIDUNG: raw. data/README.md §3.3: Land Burgenland OGD.
data/kataster	dir	raw	input	raw	1	0	0	1		data/kataster	data/kataster (Verzeichnis)	[frag_B] Als --data-dir Default in export_at_dkm_geoparquet.py:894 genutzt; es werden nur die 8 fest kodierten Dateinamen aus DEFAULT_SHP_ARCHIVES (Zeilen 104-113) angesprochen, kein Glob-Scan des Verzeichnisses.
data/kataster/.DS_Store	file	raw	input	manual	0	0	0	0	verified_dead	data/kataster/.DS_Store	.DS_Store (kataster/)	[frag_C] macOS-Systemdatei, kein Datenbezug; verwaist (nur in .gitignore erwähnt, keine Code-Referenz) | FAKTENCHECK verified_dead: keine Referenz im Code (Finder-Metadatendatei).
data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	file	raw	input	raw	2	0	0	2	true_raw	data/kataster/BEV_DKM_DXF_Symbole_V2.6.csv	BEV_DKM_DXF_Symbole_V2.6.csv	[frag_B] NS-Symbol-zu-Kategorie-Lookup. | [frag_C] Symboltabelle für NÖ-DXF-Polygonisierung (README §4.1). Ref: scripts/preprocessing/export_at_dkm_geoparquet.py:68, create_noe_dkm_polygon_fill_map.py:51
data/kataster/KAT_DKM_Burgenland_SHP_20210401.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Burgenland_SHP_20210401.zip	KAT_DKM_Burgenland_SHP_20210401.zip	[frag_B] Innerhalb dynamisch gescannt: entweder verschachtelte *.zip pro KG oder Mitglieder unter numerischen KG-Verzeichnissen (export_at_dkm_geoparquet.py:517-535); konkrete innere Dateinamen sind Laufzeit-Muster, nicht enumeriert. | [frag_C] BEV DKM Burgenland (README §4.1). Ref: scripts/preprocessing/export_at_dkm_geoparquet.py:105
data/kataster/KAT_DKM_Kaernten_SHP_20221001.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Kaernten_SHP_20221001.zip	KAT_DKM_Kaernten_SHP_20221001.zip	[frag_B] Gleiches dynamisches Scan-Muster wie Burgenland-ZIP (export_at_dkm_geoparquet.py:517-535). | [frag_C] BEV DKM Kärnten (README §4.1). Ref: scripts/preprocessing/export_at_dkm_geoparquet.py:109
data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	file	raw	input	raw	2	0	0	2	true_raw	data/kataster/KAT_DKM_Niederoesterreich_DXF_20230401.zip	KAT_DKM_Niederoesterreich_DXF_20230401.zip	[frag_B] Innerhalb dynamisch gescannt: alle Members mit *.dxf-Endung (create_noe_dkm_polygon_fill_map.py:1477-1478, export_at_dkm_geoparquet.py:625-626); konkrete DXF-Dateinamen (~KG-Codes) sind ein Laufzeit-Muster, nicht enumeriert. | [frag_C] BEV DKM NÖ, DXF (kein SHP) (README §4.1). Ref: export_at_dkm_geoparquet.py:69, create_noe_dkm_polygon_fill_map.py:50
data/kataster/KAT_DKM_Oberoesterreich_SHP_20221001.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Oberoesterreich_SHP_20221001.zip	KAT_DKM_Oberoesterreich_SHP_20221001.zip	[frag_B] Gleiches dynamisches Scan-Muster wie Burgenland-ZIP (export_at_dkm_geoparquet.py:517-535). | [frag_C] BEV DKM Oberösterreich (README §4.1). Ref: export_at_dkm_geoparquet.py:108
data/kataster/KAT_DKM_Salzburg_SHP_20221001.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Salzburg_SHP_20221001.zip	KAT_DKM_Salzburg_SHP_20221001.zip	[frag_B] Gleiches dynamisches Scan-Muster wie Burgenland-ZIP (export_at_dkm_geoparquet.py:517-535). | [frag_C] BEV DKM Salzburg (README §4.1). Ref: export_at_dkm_geoparquet.py:110
data/kataster/KAT_DKM_Steiermark_SHP_20221001.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Steiermark_SHP_20221001.zip	KAT_DKM_Steiermark_SHP_20221001.zip	[frag_B] Gleiches dynamisches Scan-Muster wie Burgenland-ZIP (export_at_dkm_geoparquet.py:517-535). | [frag_C] BEV DKM Steiermark (README §4.1). Ref: export_at_dkm_geoparquet.py:111
data/kataster/KAT_DKM_Tirol_SHP_20221001.zip	file	raw	input	raw	1	0	0	1	true_raw	data/kataster/KAT_DKM_Tirol_SHP_20221001.zip	KAT_DKM_Tirol_SHP_20221001.zip	[frag_B] Gleiches dynamisches Scan-Muster wie Burgenland-ZIP (export_at_dkm_geoparquet.py:517-535). | [frag_C] BEV DKM Tirol (README §4.1). Ref: export_at_dkm_geoparquet.py:106
