id	wave	group	title	owns	depends	acceptance
W1.P6	1	prep	Prep: Gelände und Wind	pipeline/prep/terrain.py	W0.2	Nur Durchreichen und Gitterprüfung — kein Resampling. Bricht ab, wenn Gitter oder CRS abweichen.
W1.P7	1	prep	Prep: Naturschutz	pipeline/prep/natur.py	W0.2	Schutzgebiete aus dem ZIP entpackt und reprojiziert; Featurezahl identisch.
W1.P8	1	prep	Prep: Windzonen	pipeline/prep/zonen.py	W0.2, W1.7	Alle verbleibenden Zonenquellen als harte Vorbedingung — kein stiller Ausfall mehr bei fehlender Datei.
W1.P9	1	prep	Prep: NÖ-SekROP-PDF, zwei Stufen	pipeline/prep/noe/;scripts/noe/* (Umzug)	W0.2	Alignment und Vektorisierung getrennt; erzeugte GeoJSON deckungsgleich mit den bestehenden.
W2.P0	2	layer	Vorfeld der Layer-Welle	pipeline/layers/__init__.py;make/layers/README.md;Makefile (nur -include und worktree)	Welle 1	make -n für jedes bestehende Ziel byte-identisch; ein Wegwerf-Worktree sieht build/prep/ und schreibt nicht hinein.
W2.1	2	layer	Layer: Widmung und Häuser im Grünen	pipeline/layers/hig.py	W2.P0	Bitgleich; die NÖ-Ausmaskierung bleibt unverändert erhalten. W2.2 ist hier aufgegangen (Begründung PLAN.md §13.8: hig_source_masks.py verundet in widmung_seed() die drei Widmungs-Layer, das Ergebnis geht als Eingabefilter in candidate_filter_mask() — beide Layer entstehen in einem einzigen ensure_group_layers()-Aufruf; getrennt hätte entweder Code verdoppelt oder eine Datei zu zweit besessen).
W2.4	2	layer	Layer: Natur, Gelände, Zonen und Puffer	pipeline/layers/geo.py	W2.P0	Bitgleich für alle 17 Checkpoints aus 04_create_distance_zones.py; die Geometrietyp-Empfindlichkeit gegen den GPKG-Promotionseffekt geprüft und beantwortet.
W2.3	2	layer	Layer: OSM und Infrastruktur	pipeline/layers/osm.py	Welle 1	Bitgleich; Wiederaufsetzen überspringt vorhandene Layer nachweislich korrekt.
W3.1	3	final	Finalisierung und Manifest-Vertrag	pipeline/finalize.py;windkraft/calc/band_manifest.py	Welle 2	38 Bänder, Manifest mit Nummer, Name, Rolle, Puffer und Quelle je Band; Schema versioniert.
W3.2	3	final	Validierung	pipeline/validate.py	W3.1	Prüft das TIF gegen sein eigenes Manifest und gegen die Referenz — die Abnahmebedingung aus Abschnitt 1 als Kommando.
W4.1	4	verify	Dashboard neu	pipeline/verify/dashboard.py;out/dashboard/	W3.1	Liest ausschließlich das Manifest; keine Bandnamen im Code. Läuft gegen ein Manifest mit geänderter Bandzahl ohne Anpassung.
W4.2	4	verify	Gemeindegrenzen-Export	pipeline/verify/gemeinden.py;out/gemeinden.geojson	W1.P1	Grenzen im Rasterbezug; Deckungsabweichung gegen das TIF ausgewiesen und unter Schwellwert.
W4.3	4	verify	Tests verdrahten	tests/**;Makefile (nur das test-Ziel)	Welle 3	make test läuft die acht vorhandenen Tests plus die neuen Vertragstests; grün.
W5.1	5	verify	Beweislauf aus Rohdaten	— (nur Ausführung)	Wellen 0–4	rm -rf build && make all erzeugt das TIF vollständig neu; Abnahmebedingung erfüllt; Laufzeiten je Stufe protokolliert.
W4.P0	4	verify	Vorfeld der Prüfwelle	pipeline/verify/__init__.py;make/verify/README.md;Makefile (einziges Paket der Welle 4: -include make/verify/*.mk, das test-Ziel für W4.3, und build/layers/ samt fertigem TIF im worktree-Ziel)	Welle 3	make -n für jedes bestehende Ziel byte-identisch; ein Wegwerf-Worktree sieht build/layers/ und ein finalisiertes TIF, ohne beides neu zu rechnen, und schreibt in keines von beiden. Nach Regel 9 (PLAN.md §13.10).
W5.P0	5	verify	Vorfeld des Beweislaufs	Makefile (nur das all-Ziel);docs/RUN1_VERGLEICH.md (nur ein datierter Nachtrag)	Welle 4	make -n für jedes bestehende Ziel byte-identisch; make all läuft nachweislich die neue Kette. Nach Regel 9 (PLAN.md §13.10). Gefunden und behoben: all: prep widmung-v2 rief die alte Kette auf — Welle 5 hätte den Vorgänger bewiesen und den Umbau nie berührt.
W5.P1	5	verify	Die letzte output/-Abhängigkeit	pipeline/layers/geo.py;make/layers/geo.mk;make/layers/osm.mk	W5.P0	Kein Modul unter pipeline/ liest mehr unbedingt aus output/. Nachweis über einen Lauf mit leerem Quellverzeichnis: kein Rückfall, Verzeichnis bleibt leer, alle 17 Layer pixelgleich. Die Layer-Reihenfolge hig → osm → geo ist im Make-Graphen verdrahtet statt alphabetisch.
W5.P2	5	verify	Adresslose Großflächen entfallen	windkraft/calc/hig_detection.py;pipeline/layers/hig.py;tests/test_hig_addressless_candidates.py (neu);pipeline/validate.py und tests/test_referenz_tif.py (nur das Hash-Literal);docs/rewrite/abweichungen.tsv;docs/HANDOFF.md	W5.P1	Ein Kandidat über HIG_MAX_FOOTPRINT_M2 ohne eigene BEV-Adresse entfällt; mit Adresse bleibt die Zentroidscheibe unverändert. Kein anderer Schwellwert wird angefasst. Nachzuweisen: Zahl der entfallenen Kandidaten, die pixelweise geänderten Checkpoints, die geänderten Bänder gegen die Zwischenreferenz, die Flächenwirkung auf haeuser_im_gruenen_streusiedlung und ob eine Hülle zerfällt.
W5.P3	5	verify	Die vier Nachzügler aus W5.P2	docs/rewrite/abweichungen.tsv;tests/test_referenz_tif.py;docs/HANDOFF.md;README.md	W5.P2	Vier Stellen, die seit f592e75 etwas Falsches behaupten: der Ursache-Text im Register (drei Gruppen statt einer), der gegatete Vertragstest (18 Bänder statt neun), der HANDOFF-Abschnitt gleichen Inhalts, und ein veralteter Hash im README.
W5.P4	5	verify	Das Register kennt nur eine Ursache	docs/rewrite/abweichungen.tsv (nur ampel);README.md (Zeile 191)	W5.P3	Schlüsselwort „angenommen”/„entschieden” repariert, validate.py real gelaufen, ampel zeigt den tatsächlichen Zustand; README-Zahl auf 18/zwei Ursachen nachgezogen. Der Wirkungspfad-Wächter selbst blieb fest auf Wasser verdrahtet — an W5.P5 zurückgegeben.
W5.P5	5	verify	Wirkungspfad-Wächter generalisieren	windkraft/calc/band_manifest.py;pipeline/validate.py	W5.P4	Der Wächter prüft jede Zeile gegen den Wirkungspfad ihrer eigenen ursache, nicht mehr fest gegen geography_water_bodies_wirkungspfad. So nicht eingetroffen, und die Abnahmebedingung war der Fehler, nicht das Paket: gemessen 5 gelb, 7/8/9 rot, 10 grün, 11–13 gelb, 27 gelb; kein anderer Wirkungspfad änderte sich.
W6.1	6	abschluss	Die alte Kette entfällt	löschen: scripts/** (komplett), windkraft/util/;herausbewegen: output/** → ~/Documents/master_windkraft/archiv/;ändern: Makefile (.DEFAULT_GOAL, die fünf widmung-v2-*-Ziele), pipeline/layers/geo.py, pipeline/layers/osm.py, pipeline/contract.py, pipeline/validate.py, pipeline/finalize.py (nur Zitatkommentare), tests/test_contract.py, tests/test_referenz_tif.py, docs/analysis/streusiedlung_knee.py, .gitignore	W5.1	rm -rf build/layers out && make all (9 min, build/prep/ unberührt) → TIF bitgleich fb57c41d…232c30, alle 38 Bänder, vier Produkte, Tests grün mit benannter Begründung je Testdifferenz, keine Zeichenkette output/ mehr unter pipeline/, windkraft/, tests/, make/, und make ohne Argument baut die neue Kette.
W6.2	6	abschluss	Drei Namen, die die Struktur erklären	windkraft/ → calc/;build/ → derived/;pipeline/verify/ → pipeline/export/;dazu jeder Importpfad im Repo, pipeline/contract.py, pyproject.toml, .gitignore, make/**, Makefile	W6.1	Reines Umbenennen, kein Zahlenwert ändert sich. Abnahme wie W6.1, plus: kein Vorkommen von windkraft., build/ oder verify mehr als Pfad oder Modulname, außer in erklärten historischen Erwähnungen.
W6.3	6	abschluss	README auf den neuen Baum, dann Zusammenführung nach main	README.md;main	W6.2	Ein frischer Klon von main plus data/ läuft make ohne Argument bis zu den vier Produkten durch. Die Zusammenführung gelang (65b97ac, Fast-Forward), der Klontest nicht — er übersprang nichts und richtete Schaden am geteilten derived/prep/ an. Die Abnahme wanderte deshalb nach W6.4.
W6.4	6	abschluss	Der Fingerabdruck wird ortsunabhängig	pipeline/fingerprint.py;die zehn Prep-Einstiegsmodule unter pipeline/prep/	W6.3	Schlüssel relativ zu contract.ROOT statt absolut; jedes Prep-Modul nimmt seine eigene Quelldatei in den Abdruck auf. Voller make all mit stehengelassenem derived/prep/ → TIF fb57c41d…232c30, zweiter Lauf überspringt alle zehn Stufen. Eingetroffen bis auf den Klontest.
W6.5	6	doku	Die Doku beschreibt den neuen Baum	docs/rohdaten.md;docs/dataflow/**;docs/rewrite/README.md;docs/rewrite/packages.tsv/.json;docs/rewrite/UMSETZUNG.md;docs/FOLLOWUPS.md;docs/widmung_v2_provenance.md;docs/widmung_v2.md	W6.6	Keine Doku behauptet mehr etwas, das die laufende Kette widerlegt; jede gelöschte Datei hat einen benannten Ersatz oder einen niedergeschriebenen Grund. docs/rohdaten.md wird korrigiert, nicht gelöscht. docs/dataflow/ wird datiert eingefroren, nicht neu erzeugt und nicht gelöscht, mit Kopf „Stand f1d00f7”; das README-Zitat wird entsprechend umgeschrieben.
W6.6	6	abschluss	Drei Einzeiler, die Welle 6 selbst hinterlassen hat	pipeline/fingerprint.py;die zehn Prep-Einstiegsmodule;tests/test_contract.py;die Stelle, an der die Test-Untergrenze sitzt (tests/conftest.py oder make/)	W6.4	(1) Der Fingerabdruck nimmt versionierte Quelldateien über sha256 statt über Größe und Zeitstempel auf; Rohdaten bleiben bei _stat(). (2) Die skipif-Bedingung von test_layer_names_match_existing_checkpoints zeigt auf derived/layers/ statt auf das archivierte output/…/distance_layers. (3) make test bekommt eine Untergrenze für die Zahl gesammelter Tests. Abnahme: voller make all → TIF fb57c41d…232c30 (Halt bei Abweichung), zweiter Lauf überspringt alle zehn Stufen, Klontest überspringt jetzt ebenfalls, make test meldet 214+3 statt 213+4, Untergrenze dynamisch gegengeprüft.
